"City","City_latitude","City_longitude","State","Airport","Airport_latitude","Airport_longitude","iata_code"
"Perupalem","16.3705","81.5813","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kottapeta","15.7913","80.377","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kamavarapukota","17.0031","81.1219","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Tsundupalle","13.9809","78.9152","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Balighattam","17.651","82.6059","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gonegandla","15.7167","77.6","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Podalakur","14.3667","79.7333","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kakkalapalle","14.6415","77.5668","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Paragaticherla","16.2496","79.9679","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Rentachintala","16.5525","79.5533","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Gokavaram","17.2667","81.85","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Phirangipuram","16.2889","80.2628","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Nunna","16.5788","80.6841","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Galivedu","14.0333","78.5","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
"Kota","14.0333","80.05","Andhra Pradesh","Kadapa Airport","14.51","78.772778","CDP"
